vendor_id,week_ending,metric_code,metric_value,metric_uom
V1001,2026-01-03,FILL_RATE,0.962,pct
V1001,2026-01-03,OTIF,0.94,pct
V1001,2026-01-03,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-01-03,FORECAST_ACCURACY,0.85,pct
V1001,2026-01-03,PROMO_FILL_RATE,0.88,pct
V1001,2026-01-10,FILL_RATE,0.958,pct
V1001,2026-01-10,OTIF,0.93,pct
V1001,2026-01-10,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-01-10,FORECAST_ACCURACY,0.85,pct
V1001,2026-01-10,PROMO_FILL_RATE,0.88,pct
V1001,2026-01-17,FILL_RATE,0.96,pct
V1001,2026-01-17,OTIF,0.94,pct
V1001,2026-01-17,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-01-17,FORECAST_ACCURACY,0.85,pct
V1001,2026-01-17,PROMO_FILL_RATE,0.88,pct
V1001,2026-01-24,FILL_RATE,0.955,pct
V1001,2026-01-24,OTIF,0.92,pct
V1001,2026-01-24,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-01-24,FORECAST_ACCURACY,0.85,pct
V1001,2026-01-24,PROMO_FILL_RATE,0.88,pct
V1001,2026-01-31,FILL_RATE,0.95,pct
V1001,2026-01-31,OTIF,0.9,pct
V1001,2026-01-31,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-01-31,FORECAST_ACCURACY,0.85,pct
V1001,2026-01-31,PROMO_FILL_RATE,0.88,pct
V1001,2026-02-07,FILL_RATE,0.948,pct
V1001,2026-02-07,OTIF,0.89,pct
V1001,2026-02-07,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-02-07,FORECAST_ACCURACY,0.85,pct
V1001,2026-02-07,PROMO_FILL_RATE,0.88,pct
V1001,2026-02-14,FILL_RATE,0.942,pct
V1001,2026-02-14,OTIF,0.88,pct
V1001,2026-02-14,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-02-14,FORECAST_ACCURACY,0.85,pct
V1001,2026-02-14,PROMO_FILL_RATE,0.88,pct
V1001,2026-02-21,FILL_RATE,0.94,pct
V1001,2026-02-21,OTIF,0.88,pct
V1001,2026-02-21,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-02-21,FORECAST_ACCURACY,0.85,pct
V1001,2026-02-21,PROMO_FILL_RATE,0.88,pct
V1001,2026-02-28,FILL_RATE,0.935,pct
V1001,2026-02-28,OTIF,0.87,pct
V1001,2026-02-28,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-02-28,FORECAST_ACCURACY,0.85,pct
V1001,2026-02-28,PROMO_FILL_RATE,0.88,pct
V1001,2026-03-07,FILL_RATE,0.93,pct
V1001,2026-03-07,OTIF,0.86,pct
V1001,2026-03-07,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-03-07,FORECAST_ACCURACY,0.85,pct
V1001,2026-03-07,PROMO_FILL_RATE,0.88,pct
V1001,2026-03-14,FILL_RATE,0.925,pct
V1001,2026-03-14,OTIF,0.85,pct
V1001,2026-03-14,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-03-14,FORECAST_ACCURACY,0.85,pct
V1001,2026-03-14,PROMO_FILL_RATE,0.88,pct
V1001,2026-03-21,FILL_RATE,0.92,pct
V1001,2026-03-21,OTIF,0.84,pct
V1001,2026-03-21,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-03-21,FORECAST_ACCURACY,0.85,pct
V1001,2026-03-21,PROMO_FILL_RATE,0.88,pct
V1001,2026-03-28,FILL_RATE,0.918,pct
V1001,2026-03-28,OTIF,0.83,pct
V1001,2026-03-28,LEAD_TIME_COMPLIANCE,0.88,pct
V1001,2026-03-28,FORECAST_ACCURACY,0.85,pct
V1001,2026-03-28,PROMO_FILL_RATE,0.88,pct
